index,0
845,2012.comp.921
846,2013.comp.404
847,2013.comp.600839
848,2013.comp.521
849,2013.comp.921
850,2014.comp.404
851,2014.comp.921
852,2014.comp.600839
853,2014.comp.521
854,2015.comp.404
855,2015.comp.600839
856,2015.comp.521
857,2016.comp.404
858,2016.comp.600839
859,2016.comp.521
860,2017.comp.404
861,2017.comp.600839
862,2017.comp.521
863,2018.comp.404
864,2018.comp.600839
865,2018.comp.521
866,2019.comp.404
867,2019.comp.521
868,2019.comp.600839
869,2020.comp.404
870,2020.comp.521
871,2020.comp.600839
872,2011.comp.409
873,2020.comp.409
874,2020.comp.600188
875,2008.comp.410
876,2008.comp.600806
877,2009.comp.410
878,2009.comp.600806
879,2010.comp.410
880,2010.comp.600806
881,2011.comp.410
882,2011.comp.600806
883,2014.comp.410
884,2014.comp.600806
885,2015.comp.410
886,2015.comp.600806
887,2016.comp.410
888,2016.comp.600806
889,2017.comp.410
890,2017.comp.600806
891,2017.comp.715
892,2018.comp.410
893,2018.comp.715
894,2020.comp.411
895,2020.comp.600572
896,2012.comp.413
897,2014.comp.413
898,2015.comp.413
899,2015.comp.783
900,2016.comp.413
901,2017.comp.413
902,2017.comp.40
903,2018.comp.413
904,2018.comp.40
905,2011.comp.415
906,2011.comp.600221
907,2012.comp.415
908,2012.comp.600221
909,2013.comp.415
910,2013.comp.600751
911,2013.comp.600221
912,2014.comp.415
913,2014.comp.600221
914,2014.comp.600751
915,2015.comp.415
916,2015.comp.600221
917,2015.comp.600751
918,2016.comp.415
919,2016.comp.600221
920,2016.comp.600751
921,2017.comp.415
922,2017.comp.600221
923,2017.comp.600751
924,2018.comp.415
925,2018.comp.600221
926,2018.comp.600751
927,2018.comp.2763
928,2019.comp.415
929,2019.comp.600221
930,2019.comp.600751
931,2020.comp.415
932,2020.comp.600221
933,2009.comp.418
934,2009.comp.527
935,2010.comp.418
936,2010.comp.527
937,2011.comp.418
938,2011.comp.527
939,2012.comp.418
940,2012.comp.527
941,2013.comp.418
942,2014.comp.418
943,2014.comp.333
944,2015.comp.418
945,2016.comp.418
946,2017.comp.418
947,2017.comp.333
948,2018.comp.418
949,2018.comp.333
950,2012.comp.420
951,2012.comp.601599
952,2013.comp.420
953,2013.comp.601599
954,2012.comp.421
955,2012.comp.600611
956,2013.comp.421
957,2008.comp.422
958,2008.comp.707
959,2009.comp.422
